Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
376,0.27609,0.10205,917,185
377,0.26151,0.09693,966,210
378,0.28486,0.08584,1137,143
379,0.29543,0.106,1050,238
380,0.25241,0.10955,897,254
381,0.33838,0.09638,1337,161
382,0.32454,0.13298,1413,373
383,0.34454,0.12148,1547,283
384,0.36642,0.1047,1545,199
385,0.34683,0.10405,1557,217
386,0.36396,0.11746,1519,258
387,0.36609,0.10896,1701,233
388,0.32042,0.10393,1399,216
389,0.38823,0.1022,1720,213
390,0.38324,0.12906,1843,331
391,0.42849,0.10966,2005,259
392,0.46654,0.11646,2414,262
393,0.52994,0.11237,2838,238
394,0.61962,0.11576,3312,258
395,0.95394,0.12688,5675,338
396,1.30883,0.09939,8047,173
397,2.0392,0.08935,12745,160
398,4.47469,0.12604,29045,344
399,17.8647,0.11315,115596,168
